Date,Age,Gender,Country,state,work_interfere,benefits,leave,supervisor,tech_company
2014-08-27,37,Female,United States,IL,Often,Yes,Somewhat easy,Yes,Yes
2014-08-27,44,Male,United States,IN,Rarely,Don't know,Don't know,No,No
2014-08-27,32,Male,Canada,,Rarely,No,Somewhat difficult,Yes,Yes
2014-08-27,31,Male,United Kingdom,,Often,No,Somewhat difficult,No,Yes
2014-08-27,31,Male,United States,TX,Never,Yes,Don't know,Yes,Yes
2014-08-27,33,Male,United States,TN,Sometimes,Yes,Don't know,Yes,Yes
2014-08-27,35,Female,United States,MI,Sometimes,No,Somewhat difficult,No,Yes
2014-08-27,39,Male,Canada,,Never,No,Don't know,No,Yes
2014-08-27,42,Female,United States,IL,Sometimes,Yes,Very difficult,Yes,Yes
2014-08-27,23,Male,Canada,,Never,Don't know,Don't know,Yes,Yes
2014-08-27,31,Male,United States,OH,Sometimes,Don't know,Don't know,Yes,Yes
2014-08-27,29,Male,Bulgaria,,Never,Don't know,Don't know,Yes,Yes
2014-08-27,42,Female,United States,CA,Sometimes,Yes,Somewhat difficult,Yes,No
2014-08-27,36,Male,United States,CT,Never,Don't know,Don't know,Yes,Yes
2014-08-27,27,Male,Canada,,Never,Don't know,Somewhat easy,Some of them,Yes
2014-08-27,29,Female,United States,IL,Rarely,Yes,Somewhat easy,Some of them,Yes
2014-08-27,23,Male,United Kingdom,,Sometimes,Don't know,Very easy,No,Yes
2014-08-27,32,Male,United States,TN,Sometimes,Yes,Don't know,Yes,Yes
2014-08-27,46,Male,United States,MD,Sometimes,Yes,Very easy,Yes,Yes
2014-08-27,36,Male,France,,,No,Somewhat easy,Some of them,Yes
2014-08-27,29,Male,United States,NY,Sometimes,Yes,Somewhat difficult,Some of them,Yes
2014-08-27,31,Male,United States,NC,Never,No,Somewhat difficult,Some of them,Yes
2014-08-27,46,Male,United States,MA,Often,Yes,Don't know,Yes,Yes
2014-08-27,41,Male,United States,IA,Never,Don't know,Don't know,No,No
2014-08-27,33,Male,United States,CA,Rarely,Yes,Don't know,Yes,Yes
2014-08-27,35,Male,United States,TN,Sometimes,Yes,Very easy,Yes,No
2014-08-27,33,Male,United States,TN,,Don't know,Don't know,No,Yes
2014-08-27,35,Female,United States,CA,Rarely,Yes,Don't know,Yes,Yes
2014-08-27,34,Male,United States,OH,Sometimes,Don't know,Somewhat difficult,No,Yes
2014-08-27,37,Male,United Kingdom,,Sometimes,No,Very difficult,No,Yes
2014-08-27,32,Male,United Kingdom,,Never,No,Don't know,Some of them,Yes
2014-08-27,31,Male,United States,PA,Rarely,No,Somewhat difficult,No,Yes
2014-08-27,30,Male,United Kingdom,,Sometimes,Don't know,Somewhat easy,Yes,Yes
2014-08-27,42,Male,United States,WA,Sometimes,Yes,Very easy,Some of them,Yes
2014-08-27,40,Female,United States,WI,Sometimes,Yes,Don't know,No,Yes
2014-08-27,27,Male,United States,NY,Rarely,No,Very easy,Yes,Yes
2014-08-27,29,Male,Canada,,Rarely,No,Very easy,No,Yes
2014-08-27,38,Male,Portugal,,,No,Somewhat easy,Some of them,Yes
2014-08-27,50,Male,United States,IN,,Yes,Don't know,Yes,Yes
2014-08-27,35,Male,United States,TX,Rarely,Yes,Very easy,Yes,Yes
2014-08-27,24,Male,United Kingdom,,Sometimes,No,Don't know,No,Yes
2014-08-27,35,Male,United States,MI,,Yes,Somewhat difficult,No,Yes
2014-08-27,27,Male,Canada,,Sometimes,No,Very difficult,No,Yes
2014-08-27,18,Male,Netherlands,,Often,No,Somewhat difficult,Some of them,Yes
2014-08-27,30,Male,United States,IN,Sometimes,Don't know,Don't know,No,Yes
2014-08-27,38,Female,United States,TX,Sometimes,Yes,Somewhat easy,Yes,Yes
2014-08-27,28,Male,United Kingdom,,,Don't know,Don't know,Yes,Yes
2014-08-27,34,Male,United States,TN,,No,Don't know,Yes,Yes
2014-08-27,26,Male,Canada,,Sometimes,No,Don't know,Yes,Yes
2014-08-27,30,Male,United States,IL,Rarely,Yes,Don't know,Yes,Yes
2014-08-27,22,Male,United States,TX,Often,No,Very difficult,No,Yes
2014-08-27,33,Male,United States,UT,,Don't know,Don't know,Yes,Yes
2014-08-27,31,Male,United States,,,Don't know,Don't know,Some of them,Yes
2014-08-27,32,Male,United States,TN,Never,Don't know,Don't know,Yes,Yes
2014-08-27,28,Male,Switzerland,,,No,Don't know,No,Yes
2014-08-27,27,Other,United States,NY,Rarely,Yes,Don't know,No,Yes
2014-08-27,32,Other,United States,TN,,Don't know,Somewhat easy,Yes,Yes
2014-08-27,24,Male,United States,NY,Sometimes,Don't know,Don't know,Yes,Yes
2014-08-27,26,Male,United States,TN,,No,Somewhat easy,Yes,No
2014-08-27,33,Male,Canada,,Often,Don't know,Somewhat difficult,No,Yes
2014-08-27,44,Male,United States,IA,Sometimes,Yes,Don't know,No,No
2014-08-27,26,Female,Poland,,Sometimes,Don't know,Very easy,Yes,Yes
2014-08-27,27,Male,United Kingdom,,Never,Yes,Somewhat easy,Yes,Yes
2014-08-27,26,Male,France,,,No,Very easy,No,Yes
2014-08-27,35,Male,Canada,,Sometimes,Don't know,Somewhat easy,Yes,Yes
2014-08-27,40,Male,United States,CA,Sometimes,Yes,Don't know,No,Yes
2014-08-27,23,Female,Australia,,Often,No,Very easy,Yes,Yes
2014-08-27,36,Male,United States,TX,Sometimes,Yes,Don't know,Some of them,Yes
2014-08-27,31,Female,United States,NM,,Don't know,Don't know,No,No
2014-08-27,34,Male,United States,NY,Rarely,No,Don't know,No,Yes
2014-08-27,28,Male,France,,Never,No,Don't know,Some of them,Yes
2014-08-27,34,Male,Canada,,Never,Don't know,Somewhat easy,Yes,Yes
2014-08-27,23,Other,United States,MA,Rarely,Yes,Somewhat difficult,Yes,Yes
2014-08-27,38,Male,United Kingdom,,,No,Somewhat easy,Yes,Yes
2014-08-27,33,Male,United States,CA,Never,Don't know,Don't know,Some of them,Yes
2014-08-27,19,Male,United Kingdom,,,No,Somewhat difficult,No,Yes
2014-08-27,25,Male,United States,WA,,Yes,Don't know,Yes,Yes
2014-08-27,31,Male,United States,WA,Sometimes,No,Somewhat difficult,Yes,Yes
2014-08-27,32,Male,United States,UT,Sometimes,No,Somewhat difficult,No,Yes
2014-08-27,28,Male,Germany,,Never,Don't know,Very easy,Some of them,Yes
2014-08-27,38,Male,United States,NY,Sometimes,Yes,Don't know,Some of them,Yes
2014-08-27,23,Male,United Kingdom,,Never,Yes,Very easy,Yes,Yes
2014-08-27,30,Male,Canada,,Never,No,Don't know,Yes,No
2014-08-27,27,Other,United States,NY,Often,Yes,Very easy,Yes,Yes
2014-08-27,33,Male,United States,CA,Never,No,Don't know,No,Yes
2014-08-27,31,Male,United States,TX,,Don't know,Don't know,Yes,Yes
2014-08-27,39,Male,United Kingdom,,Often,No,Very difficult,No,Yes
2014-08-27,34,Female,United States,OR,Rarely,Yes,Don't know,Some of them,Yes
2014-08-27,29,Female,United States,FL,Sometimes,Yes,Don't know,Some of them,Yes
2014-08-27,32,Male,United States,IL,,Don't know,Don't know,Some of them,Yes
2014-08-27,31,Male,United States,NY,Never,Yes,Somewhat easy,Yes,Yes
2014-08-27,40,Male,United States,TX,Sometimes,No,Very difficult,Yes,Yes
2014-08-27,34,Male,United States,OH,,Don't know,Somewhat easy,No,Yes
2014-08-27,18,Other,Russia,,,Yes,Somewhat easy,Yes,Yes
2014-08-27,25,Female,Canada,,Sometimes,Yes,Don't know,Yes,Yes
2014-08-27,29,Male,United States,MN,Never,Don't know,Don't know,Yes,Yes
2014-08-27,24,Male,United States,MO,Rarely,Don't know,Somewhat easy,No,Yes
2014-08-27,31,Male,Mexico,,Sometimes,Don't know,Don't know,Yes,Yes
2014-08-27,33,Other,United States,AZ,Sometimes,No,Somewhat easy,No,Yes
2014-08-27,30,Male,United States,IN,Often,No,Somewhat easy,Yes,Yes
2014-08-27,26,Female,Canada,,Sometimes,No,Very difficult,No,No
2014-08-27,44,Female,United States,MA,Never,Yes,Don't know,Some of them,Yes
2014-08-27,25,Male,United States,NY,,Don't know,Very easy,Yes,Yes
2014-08-27,33,Male,United States,WI,Sometimes,Yes,Somewhat easy,Yes,Yes
2014-08-27,29,Male,United States,NY,Never,Yes,Somewhat easy,Yes,Yes
2014-08-27,35,Male,United States,MO,Rarely,Yes,Somewhat easy,Yes,Yes
2014-08-27,35,Male,United States,OR,Sometimes,Don't know,Somewhat easy,Yes,Yes
2014-08-27,28,Male,Brazil,,Rarely,No,Don't know,Yes,Yes
2014-08-27,34,Male,United States,TN,Never,Yes,Don't know,No,Yes
2014-08-27,32,Male,United States,WA,Sometimes,Yes,Somewhat difficult,Yes,Yes
2014-08-27,22,Male,United States,NY,Sometimes,Yes,Don't know,No,Yes
2014-08-27,28,Male,United States,CA,Sometimes,Yes,Somewhat easy,Some of them,Yes
2014-08-27,45,Male,United States,MO,Rarely,Yes,Very easy,Yes,Yes
2014-08-27,32,Male,United States,NY,Never,Yes,Don't know,Some of them,Yes
2014-08-27,28,Male,United States,TX,,Don't know,Don't know,No,Yes
2014-08-27,26,Male,United Kingdom,,Never,Don't know,Very easy,Some of them,Yes
2014-08-27,21,Male,United Kingdom,,Often,No,Very difficult,Yes,No
2014-08-27,27,Male,Canada,,Rarely,Yes,Very easy,Yes,No
2014-08-27,18,Male,United States,CT,Rarely,No,Very easy,No,Yes
2014-08-27,35,Male,United States,CO,,Don't know,Don't know,Yes,Yes
2014-08-27,29,Male,United States,GA,Never,Yes,Don't know,No,Yes
2014-08-27,25,Male,United States,DC,,Don't know,Very easy,Yes,Yes
2014-08-27,33,Male,United States,MN,Sometimes,Don't know,Very easy,Yes,Yes
2014-08-27,36,Male,United States,WA,Often,Yes,Don't know,No,Yes
2014-08-27,27,Male,Canada,,Never,Yes,Very difficult,Yes,No
2014-08-27,27,Male,United States,WA,Never,Yes,Don't know,No,Yes
2014-08-27,27,Male,United Kingdom,,,No,Don't know,Some of them,Yes
2014-08-27,32,Male,United States,OR,Rarely,Yes,Don't know,Yes,Yes
2014-08-27,31,Male,United Kingdom,,Sometimes,No,Somewhat easy,No,Yes
2014-08-27,19,Male,Slovenia,,Sometimes,Don't know,Somewhat easy,No,Yes
2014-08-27,33,Male,United States,IL,Sometimes,Yes,Very easy,Some of them,Yes
2014-08-27,32,Male,United States,CA,Rarely,No,Very difficult,Some of them,Yes
2014-08-27,27,Male,United States,NE,Never,Don't know,Don't know,Yes,Yes
2014-08-27,38,Male,Costa Rica,,,No,Somewhat easy,Yes,Yes
2014-08-27,24,Male,Canada,,Never,Don't know,Don't know,Yes,Yes
2014-08-27,39,Male,United Kingdom,,Never,No,Don't know,No,No
2014-08-27,28,Male,United Kingdom,,Never,Don't know,Very easy,Yes,Yes
2014-08-27,39,Male,United States,IA,Often,Yes,Somewhat easy,Yes,Yes
2014-08-27,29,Female,United States,MD,,Don't know,Somewhat easy,No,Yes
2014-08-27,22,Male,Austria,,,Don't know,Somewhat easy,Some of them,Yes
2014-08-27,38,Male,United States,OR,Sometimes,Don't know,Don't know,Yes,Yes
2014-08-27,37,Male,United Kingdom,,Sometimes,No,Very difficult,No,No
2014-08-27,35,Male,United States,TX,Never,Don't know,Don't know,No,No
2014-08-27,-29,Male,United States,MN,,Yes,Don't know,Yes,No
2014-08-27,30,Female,United States,PA,,Don't know,Don't know,Some of them,Yes
2014-08-27,37,Male,United States,IN,Rarely,Yes,Somewhat easy,Yes,No
2014-08-27,24,Male,United Kingdom,,Never,No,Don't know,Some of them,Yes
2014-08-27,23,Male,United States,WV,Sometimes,No,Somewhat easy,No,No
2014-08-27,30,Male,Ireland,,Rarely,No,Somewhat easy,No,Yes
2014-08-27,29,Female,United States,MI,,Don't know,Don't know,Some of them,Yes
2014-08-27,19,Male,Canada,,,Don't know,Somewhat easy,Some of them,Yes
2014-08-27,32,Male,United States,CA,Never,Don't know,Very easy,Some of them,Yes
2014-08-27,28,Male,Poland,,Rarely,No,Don't know,Yes,Yes
2014-08-27,36,Male,United States,IL,Never,Don't know,Don't know,Some of them,Yes
2014-08-27,37,Male,United Kingdom,,Rarely,Yes,Somewhat difficult,No,No
2014-08-27,25,Male,United States,IL,Sometimes,Don't know,Somewhat difficult,Some of them,No
2014-08-27,27,Male,United States,CA,Sometimes,Don't know,Don't know,Some of them,Yes
2014-08-27,26,Male,United States,OK,Often,Don't know,Don't know,Yes,No
2014-08-27,27,Male,United States,UT,Rarely,No,Somewhat difficult,Yes,Yes
2014-08-27,25,Male,United States,IL,Sometimes,Don't know,Very easy,No,Yes
2014-08-27,36,Male,United Kingdom,,Sometimes,Yes,Somewhat easy,Some of them,No
2014-08-27,25,Female,United States,NY,Sometimes,Yes,Don't know,Some of them,Yes
2014-08-27,31,Male,United States,CA,Never,Yes,Don't know,Some of them,Yes
2014-08-27,26,Male,United States,MA,Rarely,Don't know,Don't know,Yes,Yes
2014-08-27,33,Female,United States,WA,Sometimes,No,Very difficult,Yes,Yes
2014-08-27,27,Female,United Kingdom,,,No,Somewhat easy,Yes,Yes
2014-08-27,34,Male,United States,MN,Never,No,Very easy,Some of them,Yes
2014-08-27,42,Male,United States,CA,,No,Very difficult,Yes,Yes
2014-08-27,23,Male,Ireland,,Sometimes,No,Very difficult,No,Yes
2014-08-27,24,Male,United Kingdom,,Rarely,Don't know,Very easy,Some of them,Yes
2014-08-27,26,Male,United Kingdom,,Sometimes,Yes,Somewhat easy,Yes,Yes
2014-08-27,31,Male,United Kingdom,,Often,Don't know,Don't know,Yes,Yes
2014-08-27,22,Male,India,,Never,Don't know,Very difficult,No,Yes
2014-08-27,23,Female,United States,NC,,Don't know,Don't know,Yes,Yes
2014-08-27,34,Female,Canada,,Sometimes,Yes,Somewhat easy,Yes,No
2014-08-27,31,Male,United States,MO,Never,Don't know,Don't know,Some of them,Yes
2014-08-27,28,Male,United Kingdom,,,No,Somewhat easy,Some of them,No
2014-08-27,32,Female,United States,MA,Often,Yes,Very easy,Yes,Yes
2014-08-27,45,Female,United States,CA,Sometimes,Yes,Somewhat difficult,Yes,Yes
2014-08-27,33,Male,United States,TX,,Don't know,Very easy,Yes,Yes
2014-08-27,29,Male,Mexico,,Never,No,Don't know,Yes,Yes
2014-08-27,26,Female,India,,Sometimes,No,Somewhat easy,Some of them,No
2014-08-27,28,Female,United Kingdom,,Never,Don't know,Somewhat easy,Yes,Yes
2014-08-27,45,Male,United States,CA,Sometimes,Don't know,Don't know,Some of them,Yes
2014-08-27,43,Male,United States,WA,Often,Yes,Very difficult,No,Yes
2014-08-27,37,Male,United States,MA,,Yes,Don't know,No,Yes
2014-08-27,24,Male,United Kingdom,,Sometimes,Don't know,Somewhat easy,Yes,Yes
2014-08-27,26,Male,France,,,No,Somewhat easy,No,Yes
2014-08-27,23,Male,United Kingdom,,,Don't know,Don't know,Yes,Yes
2014-08-27,35,Female,United States,CA,Never,Yes,Somewhat easy,No,Yes
2014-08-27,38,Female,South Africa,,Often,No,Somewhat easy,Some of them,Yes
2014-08-27,28,Male,United States,MI,Sometimes,Yes,Somewhat easy,No,Yes
2014-08-27,28,Male,Russia,,Sometimes,No,Don't know,No,Yes
2014-08-27,35,Male,United States,CA,Rarely,No,Don't know,Yes,Yes
2014-08-27,32,Female,Germany,,Sometimes,No,Very difficult,No,Yes
2014-08-27,31,Other,Italy,,Never,No,Somewhat easy,Some of them,Yes
2014-08-27,35,Female,United States,NY,Never,Don't know,Don't know,No,Yes
2014-08-27,26,Male,United States,CA,Rarely,Yes,Somewhat easy,Yes,Yes
2014-08-27,27,Male,United States,TN,,Yes,Somewhat easy,Some of them,Yes
2014-08-27,28,Male,United Kingdom,,Sometimes,Don't know,Don't know,No,Yes
2014-08-27,27,Female,United States,OR,Sometimes,Yes,Very easy,Some of them,Yes
2014-08-27,34,Female,United States,MN,Sometimes,Yes,Somewhat easy,Yes,No
2014-08-27,41,Male,United States,FL,Often,No,Very difficult,Some of them,Yes
2014-08-27,37,Male,Ireland,,Sometimes,No,Very difficult,No,Yes
2014-08-27,34,Male,Austria,,,Don't know,Very easy,Yes,Yes
2014-08-27,32,Male,United Kingdom,,Sometimes,Don't know,Somewhat difficult,No,Yes
2014-08-27,21,Male,Canada,,Sometimes,No,Somewhat difficult,Some of them,Yes
2014-08-27,30,Male,United States,MA,Often,No,Somewhat easy,Yes,Yes
2014-08-27,24,Male,United States,KS,Never,Don't know,Don't know,Yes,Yes
2014-08-27,26,Male,Bulgaria,,,No,Very easy,No,Yes
2014-08-27,40,Female,United States,DC,,Yes,Somewhat easy,Yes,Yes
2014-08-27,37,Male,United Kingdom,,Sometimes,No,Don't know,Yes,No
2014-08-27,26,Male,United Kingdom,,Often,No,Don't know,No,Yes
2014-08-27,32,Female,United States,TX,Sometimes,Don't know,Don't know,Some of them,Yes
2014-08-27,32,Female,United States,MA,Sometimes,Yes,Very easy,Yes,No
2014-08-27,27,Female,United States,MI,Sometimes,No,Very difficult,No,Yes
2014-08-27,30,Male,Germany,,Often,Yes,Very difficult,Yes,Yes
2014-08-27,31,Male,Canada,,,Yes,Very easy,Some of them,Yes
2014-08-27,29,Female,United States,NY,Never,Yes,Somewhat difficult,No,No
2014-08-27,41,Other,United States,VA,,Yes,Very easy,Some of them,Yes
2014-08-27,34,Female,United States,WA,,Yes,Somewhat easy,Yes,Yes
2014-08-27,33,Male,United Kingdom,,,Don't know,Don't know,Yes,Yes
2014-08-27,28,Male,United States,PA,Rarely,Don't know,Don't know,Some of them,Yes
2014-08-27,28,Male,United States,MI,Sometimes,No,Very difficult,Some of them,Yes
2014-08-27,23,Male,United States,PA,Never,Don't know,Don't know,Yes,Yes
2014-08-27,24,Male,United States,OR,,Don't know,Very easy,Yes,Yes
2014-08-27,32,Male,United States,WA,Rarely,No,Very difficult,Yes,Yes
2014-08-27,34,Male,Australia,,Sometimes,Don't know,Somewhat difficult,No,Yes
2014-08-27,24,Male,United States,PA,Never,Yes,Very easy,No,Yes
2014-08-27,26,Male,United Kingdom,,Sometimes,No,Don't know,Some of them,Yes
2014-08-27,36,Male,United States,OH,Sometimes,Yes,Don't know,Some of them,Yes
2014-08-27,41,Male,United States,TX,Rarely,Yes,Don't know,No,Yes
2014-08-27,38,Male,United Kingdom,,Sometimes,Don't know,Very difficult,No,No
2014-08-27,38,Male,United States,NH,Sometimes,Don't know,Don't know,Yes,Yes
2014-08-27,30,Male,Netherlands,,,Don't know,Somewhat easy,Some of them,Yes
2014-08-27,25,Male,United Kingdom,,Never,No,Somewhat difficult,No,Yes
2014-08-27,37,Male,Canada,,Often,Yes,Don't know,Some of them,Yes
2014-08-27,34,Male,United Kingdom,,,No,Somewhat difficult,Yes,Yes
2014-08-27,37,Female,United States,NC,Sometimes,Yes,Somewhat easy,Some of them,No
2014-08-27,28,Female,Canada,,Sometimes,Yes,Don't know,Yes,No
2014-08-27,22,Male,Sweden,,,Don't know,Don't know,Yes,Yes
2014-08-27,34,Male,United States,FL,Sometimes,No,Somewhat difficult,Some of them,Yes
2014-08-27,33,Male,United States,CA,Sometimes,Yes,Somewhat easy,Yes,Yes
2014-08-27,25,Male,South Africa,,,No,Somewhat difficult,Yes,Yes
2014-08-27,27,Male,United States,GA,Never,Yes,Somewhat easy,Yes,Yes
2014-08-27,40,Male,United States,OH,Sometimes,Yes,Don't know,No,Yes
2014-08-27,21,Male,United States,KY,Often,Don't know,Don't know,No,No
2014-08-27,29,Male,United Kingdom,,,No,Very easy,Yes,No
2014-08-27,32,Male,United States,NC,Sometimes,No,Don't know,Yes,Yes
2014-08-27,29,Female,United States,NY,Rarely,Yes,Don't know,No,No
2014-08-27,23,Male,United States,AL,Sometimes,Don't know,Somewhat easy,Some of them,No
2014-08-27,28,Male,United States,GA,,Yes,Somewhat easy,Yes,Yes
2014-08-27,31,Male,United States,CA,Rarely,Yes,Very easy,Yes,Yes
2014-08-27,27,Male,United Kingdom,,,Don't know,Very easy,Yes,No
2014-08-27,24,Male,United States,VA,Sometimes,Don't know,Don't know,Yes,Yes
2014-08-27,29,Male,Canada,,Often,No,Somewhat difficult,No,Yes
2014-08-27,23,Female,United Kingdom,,Sometimes,Don't know,Don't know,Some of them,Yes
2014-08-27,42,Male,United States,WA,Never,No,Somewhat easy,Yes,Yes
2014-08-27,24,Male,United Kingdom,,,No,Don't know,Some of them,Yes
2014-08-27,25,Male,Australia,,Often,No,Very difficult,No,Yes
2014-08-27,27,Female,United States,TX,Rarely,Yes,Don't know,No,Yes
2014-08-27,27,Male,Canada,,Sometimes,No,Very difficult,Some of them,Yes
2014-08-27,30,Male,United States,FL,Sometimes,Yes,Don't know,Yes,Yes
2014-08-27,29,Male,Poland,,Rarely,No,Very difficult,Some of them,Yes
2014-08-27,43,Male,Canada,,,No,Somewhat easy,Yes,Yes
2014-08-27,32,Male,United States,NV,,No,Very easy,Yes,Yes
2014-08-27,41,Male,United States,AL,Sometimes,Yes,Very easy,Yes,Yes
2014-08-27,32,Male,United Kingdom,,Sometimes,Don't know,Very easy,Some of them,Yes
2014-08-27,37,Female,United States,CA,Often,Yes,Don't know,Some of them,Yes
2014-08-27,32,Male,United States,CO,Never,No,Very easy,Yes,Yes
2014-08-27,30,Male,Ireland,,Sometimes,No,Somewhat difficult,Some of them,Yes
2014-08-27,23,Female,United States,MN,Never,Yes,Don't know,Yes,No
2014-08-27,30,Male,United States,NJ,,Yes,Very easy,Yes,Yes
2014-08-27,34,Male,United Kingdom,,Sometimes,No,Somewhat easy,Some of them,Yes
2014-08-27,38,Male,United States,PA,Rarely,Yes,Don't know,No,Yes
2014-08-27,33,Male,Canada,,,Yes,Don't know,Yes,Yes
2014-08-27,34,Male,United States,MO,,Yes,Don't know,No,No
2014-08-27,28,Male,Colombia,,Sometimes,No,Somewhat easy,Some of them,Yes
2014-08-27,28,Male,United States,MN,Rarely,Yes,Very easy,Some of them,No
2014-08-27,23,Male,United States,PA,Sometimes,Don't know,Don't know,No,Yes
2014-08-27,22,Male,Australia,,Sometimes,Don't know,Somewhat easy,Yes,Yes
2014-08-27,27,Male,Portugal,,Never,No,Don't know,No,Yes
2014-08-27,18,Male,United States,TX,Sometimes,Don't know,Don't know,No,Yes
2014-08-27,35,Male,United States,NY,Sometimes,Yes,Somewhat difficult,Some of them,Yes
2014-08-27,25,Male,Canada,,,Don't know,Don't know,Some of them,No
2014-08-27,27,Male,United Kingdom,,Sometimes,No,Somewhat easy,Yes,Yes
2014-08-27,26,Female,United States,WA,Rarely,Yes,Don't know,Some of them,Yes
2014-08-27,18,Male,United States,WA,Never,Don't know,Very easy,Some of them,Yes
2014-08-27,38,Female,United States,TX,Sometimes,No,Don't know,No,Yes
2014-08-27,26,Female,United States,TX,Rarely,Yes,Somewhat easy,No,Yes
2014-08-27,30,Male,Switzerland,,Never,No,Somewhat easy,Yes,Yes
2014-08-27,35,Male,United States,CA,Never,Don't know,Don't know,Some of them,Yes
2014-08-27,45,Male,United States,NY,Sometimes,Yes,Don't know,Some of them,Yes
2014-08-27,32,Male,United States,CA,Never,Yes,Don't know,Some of them,Yes
2014-08-27,56,Male,United States,,Never,Yes,Don't know,Some of them,Yes
2014-08-27,24,Female,United States,CA,,Don't know,Don't know,No,Yes
2014-08-27,30,Female,United States,SC,Sometimes,Yes,Very easy,Yes,Yes
2014-08-27,60,Male,United States,CA,,Yes,Don't know,Yes,Yes
2014-08-27,33,Male,United States,CA,Sometimes,Yes,Don't know,No,Yes
2014-08-27,37,Male,United States,NY,Never,Yes,Don't know,Yes,Yes
2014-08-27,23,Female,United States,NY,Sometimes,Yes,Don't know,Some of them,Yes
2014-08-27,31,Female,United States,CA,Sometimes,Yes,Somewhat easy,Yes,Yes
2014-08-27,26,Male,United States,MA,Rarely,Yes,Don't know,Yes,Yes
2014-08-27,28,Female,United States,WA,Often,Yes,Somewhat easy,Yes,No
2014-08-27,37,Female,United States,CA,Rarely,Yes,Somewhat easy,Yes,Yes
2014-08-27,26,Male,Canada,,Often,Yes,Don't know,Some of them,Yes
2014-08-27,30,Other,United States,IL,Rarely,Yes,Somewhat easy,Yes,Yes
2014-08-27,26,Male,United States,IN,,No,Don't know,Some of them,Yes
2014-08-27,25,Male,United States,OR,,Don't know,Don't know,Yes,Yes
2014-08-27,27,Male,United States,TN,Sometimes,Yes,Don't know,Yes,Yes
2014-08-27,25,Male,Canada,,Often,Don't know,Somewhat difficult,No,No
2014-08-27,35,Male,United States,OR,Rarely,Yes,Don't know,Yes,Yes
2014-08-27,36,Male,United States,WA,Never,No,Somewhat easy,Yes,Yes
2014-08-27,26,Male,United States,CA,Sometimes,Yes,Don't know,No,Yes
